key,value,label,zoom,usa only
barrier,gate,gate,18,false
barrier,kerb,kerb,18,false
barrier,kissing_gate,kissing_gate,18,false
barrier,lift_gate,lift_gate,18,false
barrier,stile,stile,18,false
barrier,toll_booth,toll_booth,18,false
building,apartments,apartments,18,false
building,barn,barn,18,false
building,bridge,bridge,18,false
building,bunker,bunker,18,false
building,cabin,cabin,18,false
building,cabin,cabin,18,false
building,chapel,chapel,18,false
building,church,church,18,false
building,commercial,commercial,18,false
building,construction,construction,18,false
building,detached,detached,18,false
building,entrance,entrance,18,false
building,farm,farm,18,false
building,garage,garage,18,false
building,garages,garages,18,false
building,hangar,hangar,18,false
building,hangar,hangar,18,false
building,hospital,hospital,18,false
building,hotel,hotel,18,false
building,house,house,18,false
building,hut,hut,18,false
building,industrial,industrial,18,false
building,mosque,mosque,18,false
building,office,office,18,false
building,public,public,18,false
building,residential,residential,18,false
building,retail,retail,18,false
building,roof,roof,18,false
building,ruins,ruins,18,false
building,school,school,18,false
building,shed,shed,18,false
building,stable,stable,18,false
building,static_caravan,caravan,18,false
building,storage_tank,storage_tank,18,false
building,terrace,terrace,18,false
building,train_station,trainstation,18,false
building,transformer_tower,transformertower,18,false
building,university,university,18,false
building,warehouse,warehouse,18,false
cuisine,burger,burger,18,false
cuisine,chinese,chinese,18,false
cuisine,coffee_shop,coffee_shop,18,false
cuisine,german,german,18,false
cuisine,italian,italian,18,false
cuisine,japanese,japanese,18,false
cuisine,mexican,mexican,18,false
cuisine,pizza,pizza,18,false
cuisine,regional,regional,18,false
cuisine,sandwich,sandwich,18,false
denomination,catholic,catholicchurch,18,false
highway,bus_stop,bus_stop,18,false
highway,crossing,crossing,18,false
highway,elevator,elevator,18,false
highway,emergency_access_point,emergency_access_point,18,false
highway,give_way,give_way,18,false
highway,milestone,milestone,18,false
highway,mini_roundabout,mini_roundabout,18,false
highway,motorway_junction,motorway_junction,18,false
highway,platform,platform,18,false
highway,residential,residential,18,false
highway,rest_area,rest_area,18,false
highway,service,service,18,false
highway,speed_camera,speed_camera,18,false
highway,steps,steps,18,false
highway,stop,stop,18,false
highway,street_lamp,street_lamp,18,false
highway,traffic_signals,traffic_signals,18,false
highway,turning_circle,turning_circle,18,false
historic,archaeological_site,archaeological_site,18,false
historic,boundary_stone,boundary_stone,18,false
historic,castle,castle,18,false
historic,memorial,memorial,18,false
historic,monument,monument,18,false
historic,ruins,ruins,18,false
historic,wayside_cross,wayside_cross,18,false
historic,wayside_shrine,wayside_shrine,18,false
historic,yes,yes,18,false
landuse,allotments,allotments,18,false
landuse,cemetery,cemetery,18,false
landuse,commercial,commercial,18,false
landuse,farm,farm,18,false
landuse,farmyard,farmyard,18,false
landuse,forest,forest,18,false
landuse,industrial,industrial,18,false
landuse,quarry,quarry,18,false
landuse,reservoir,reservoir,18,false
landuse,residential,residential,18,false
landuse,retail,retail,18,false
landuse,scrub,scrub,18,false
landuse,village_green,village_green,18,false
leisure,garden,garden,18,false
leisure,garden,garden,18,false
leisure,golf_course,golfcourse,18,false
leisure,golf_course,golf_course,18,false
leisure,hot_spring,hotspring,18,false
leisure,marina,marina,18,false
leisure,marina,marina,18,false
leisure,miniature_golf,miniaturegolf,18,false
leisure,nature_reserve,nature_reserve,18,false
leisure,park,park,18,false
leisure,picnic_table,picnic_table,18,false
leisure,playground,playground,18,false
leisure,playground,playground,18,false
leisure,slipway,slipway,18,false
leisure,sports_centre,sports_centre,18,false
leisure,stadium,stadium,18,false
leisure,stadium,stadium,18,false
leisure,swimming_pool,swimming_pool,18,false
leisure,track,track,18,false
leisure,track,track,18,false
leisure,water_park,waterpark,18,false
man_made,chimney,chimney,18,false
man_made,flagpole,flagpole,18,false
man_made,mast,mast,18,false
man_made,petroleum_well,petroleum_well,18,false
man_made,pier,pier,18,false
man_made,reservoir_covered,reservoir_covered,18,false
man_made,silo,silo,18,false
man_made,storage_tank,storage_tank,18,false
man_made,surveillance,surveillance,18,false
man_made,survey_point,survey_point,18,false
man_made,tower,tower,18,false
man_made,wastewater_plant,wastewater_plant,18,false
